,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
0,0,0,0,0,0,0.8869581040155946,0,0,0,0,0.894231812162881,0,0,0,0,0.8827675442425996,0,0,0,0.884981962956973,0,0,0,0,0.8710345256179808,0,0,0,0.8699056237137317,0,0,0,0,0.8496644625906256,0,0,0,0,0,0,0.9531548268980844,0,0,0,0.9537731140414838,0,0,0.9489753144393461,0,0,0,0.9452684397669845,0,0,0.9362418596006623,0,0,0,0.9299158106822455,0,0,0.9092153027314909,0,0,0,0,0,0,0.9871439065549825,0,0,0,0.9794857371986391,0,0,0.9847060574957998,0,0,0,0.9731937915671695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0.09443064183104528,0,0,0,0,0.08841405124348949,0,0,0,0,0.09755223546960352,0,0,0,0.09370726408753685,0,0,0,0,0.1060889064957434,0,0,0,0.10094094977697413,0,0,0,0,0.12122207513948632,0,0,0,0,0,0,0.040418740635899265,0,0,0,0.039743128315773285,0,0,0.04408411151254896,0,0,0,0.04607288082308159,0,0,0.05502935411393158,0,0,0,0.0559127520739394,0,0,0.07734405682237719,0,0,0,0,0,0,0.0094408678732758,0,0,0,0.016836211065115268,0,0,0.011726290247901061,0,0,0,0.022098411809695146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0.011125214623237605,0,0,0,0,0.01024441576212669,0,0,0,0,0.011819952857698506,0,0,0,0.012658176655859131,0,0,0,0,0.013858327953683216,0,0,0,0.016981988734439693,0,0,0,0,0.017792514522442168,0,0,0,0,0,0,0.002674888666627383,0,0,0,0.002721696386235785,0,0,0.0030515666844472492,0,0,0,0.004181549005892193,0,0,0.004348318914859318,0,0,0,0.007498197644361824,0,0,0.007693131291051269,0,0,0,0,0,0,0.00043764418275933143,0,0,0,0.0007060386268507311,0,0,0.0005475630063414861,0,0,0,0.0014288319506181879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0.0024200210125025104,0,0,0,0,0.0022319875977554722,0,0,0,0,0.0026030889124646485,0,0,0,0.0030020398977661255,0,0,0,0,0.003161456439475244,0,0,0,0.004655131605053198,0,0,0,0,0.004273502454971702,0,0,0,0,0,0,0.0005136582144323038,0,0,0,0.0005244468170515662,0,0,0.0005854131819761499,0,0,0,0.000889742519891634,0,0,0.000842523971141515,0,0,0,0.0019538720242405234,0,0,0.0015587892088466736,0,0,0,0,0,0,0.0001095257569335558,0,0,0,0.0001298826449860749,0,0,0.00013052649700988976,0,0,0,0.000285864698084299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0.0008880995157773968,0,0,0,0,0.0008191445475195944,0,0,0,0,0.0009586326390328332,0,0,0,0.0011215556068665572,0,0,0,0,0.0011774120181856083,0,0,0,0.0018332390233885907,0,0,0,0,0.0016150378928545509,0,0,0,0,0,0,0.0001920978968265766,0,0,0,0.0001944024140030641,0,0,0.00021736684928803202,0,0,0,0.0003297242801738249,0,0,0.0003079686851252053,0,0,0,0.0007639715337248333,0,0,0.0005618668573890013,0,0,0,0,0,0,4.8816168165273714e-05,0,0,0,4.970962959031628e-05,0,0,5.681235425538163e-05,0,0,0,0.00010668229695924076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0.00043668809121426256,0,0,0,0,0.00040240597684625335,0,0,0,0,0.0004719011797303606,0,0,0,0.0005501214317446295,0,0,0,0,0.000582002398081012,0,0,0,0.000910577854606546,0,0,0,0,0.00080175353516084,0,0,0,0,0,0,9.707052739175241e-05,0,0,0,9.755554720324006e-05,0,0,0.00010929515346553378,0,0,0,0.0001632676982911425,0,0,0.0001529865415231027,0,0,0,0.00037996695296757733,0,0,0.0002748779302385644,0,0,0,0,0,0,2.745215302111574e-05,0,0,0,2.5582807827181254e-05,0,0,3.1496010282826705e-05,0,0,0,5.350637326156884e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0.0002530338979462128,0,0,0,0,0.000232956540958225,0,0,0,0,0.00027357777185999383,0,0,0,0.0003169349260419611,0,0,0,0,0.00033811842597998,0,0,0,0.0005245127672702252,0,0,0,0,0.0004665505176699961,0,0,0,0,0,0,5.7500644604180934e-05,0,0,0,5.7498805292583496e-05,0,0,6.451422494596309e-05,0,0,0,9.50612587059679e-05,0,0,8.951445783602914e-05,0,0,0,0.00021948337928961157,0,0,0.00015894735610164312,0,0,0,0,0,0,1.7525862413326092e-05,0,0,0,1.5359925065845045e-05,0,0,1.9905587000657334e-05,0,0,0,3.1497787711127866e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0.0001624708448027834,0,0,0,0,0.00014946581893896085,0,0,0,0,0.00017571346519987458,0,0,0,0.0002023481257317731,0,0,0,0,0.0002174532076933681,0,0,0,0.00033357585530128023,0,0,0,0,0.0003002824344097895,0,0,0,0,0,0,3.757903908876792e-05,0,0,0,3.743403595039918e-05,0,0,4.2049244215159465e-05,0,0,0,6.126529094097215e-05,0,0,5.795078074977623e-05,0,0,0,0.00013999063834705736,0,0,0.00010195033483428353,0,0,0,0,0,0,1.2128023923036312e-05,0,0,0,1.014456236349177e-05,0,0,1.3668195743872387e-05,0,0,0,2.0484165299604888e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0.00011190147816293881,0,0,0,0,0.00010287979536232892,0,0,0,0,0.00012104553233524364,0,0,0,0.0001386592957894049,0,0,0,0,0.000149938307465105,0,0,0,0.0002274767498537504,0,0,0,0,0.0002071332580786138,0,0,0,0,0,0,2.6262623840782096e-05,0,0,0,2.608096012202716e-05,0,0,2.932299484964055e-05,0,0,0,4.2325443127518165e-05,0,0,4.019178329539851e-05,0,0,0,9.572303739487286e-05,0,0,7.017418305034202e-05,0,0,0,0,0,0,8.87564485633183e-06,0,0,0,7.150851879997147e-06,0,0,9.939996833910835e-06,0,0,0,1.4259142489000691e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,8.11037073757146e-05,0,0,0,0,7.452579836260982e-05,0,0,0,0,8.774304076841682e-05,0,0,0,0.00010004673521344951,0,0,0,0,0.00010876296900140728,0,0,0,0.00016332390123494352,0,0,0,0,0.00015028331263078397,0,0,0,0,0,0,1.9271068071267667e-05,0,0,0,1.908894917464374e-05,0,0,2.147779308297584e-05,0,0,0,3.075664306164939e-05,0,0,2.9304588030023934e-05,0,0,0,6.889718236319714e-05,0,0,5.084046495481708e-05,0,0,0,0,0,0,6.768458671099455e-06,0,0,0,5.2853171880347175e-06,0,0,7.540184312034141e-06,0,0,0,1.0429005809162524e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
